Id,ActivityHour,Calories
1503960366,2016-04-12T04:00:00Z,48
1503960366,2016-04-12T05:00:00Z,48
1503960366,2016-04-12T06:00:00Z,48
1503960366,2016-04-12T09:00:00Z,141
1503960366,2016-04-12T13:00:00Z,66
1503960366,2016-04-12T15:00:00Z,151
1503960366,2016-04-12T18:00:00Z,124
1503960366,2016-04-12T20:00:00Z,132
1503960366,2016-04-13T01:00:00Z,48
1503960366,2016-04-13T06:00:00Z,48
1503960366,2016-04-13T09:00:00Z,136
1503960366,2016-04-13T14:00:00Z,128
1503960366,2016-04-13T18:00:00Z,118
1503960366,2016-04-13T21:00:00Z,48
1503960366,2016-04-13T23:00:00Z,135
1503960366,2016-04-14T10:00:00Z,109
1503960366,2016-04-14T13:00:00Z,137
1503960366,2016-04-14T15:00:00Z,66
1503960366,2016-04-14T21:00:00Z,174
1503960366,2016-04-15T05:00:00Z,49
1503960366,2016-04-15T07:00:00Z,49
1503960366,2016-04-15T13:00:00Z,67
1503960366,2016-04-15T17:00:00Z,140
1503960366,2016-04-15T22:00:00Z,151
1503960366,2016-04-15T23:00:00Z,182
1503960366,2016-04-16T01:00:00Z,48
1503960366,2016-04-16T03:00:00Z,48
1503960366,2016-04-16T04:00:00Z,49
1503960366,2016-04-16T05:00:00Z,49
1503960366,2016-04-16T06:00:00Z,48
1503960366,2016-04-16T09:00:00Z,124
1503960366,2016-04-16T11:00:00Z,147
1503960366,2016-04-16T12:00:00Z,119
1503960366,2016-04-16T13:00:00Z,214
1503960366,2016-04-16T15:00:00Z,51
1503960366,2016-04-16T19:00:00Z,67
1503960366,2016-04-17T01:00:00Z,48
1503960366,2016-04-17T03:00:00Z,49
1503960366,2016-04-17T04:00:00Z,48
1503960366,2016-04-17T05:00:00Z,48
1503960366,2016-04-17T06:00:00Z,48
1503960366,2016-04-17T07:00:00Z,48
1503960366,2016-04-17T08:00:00Z,48
1503960366,2016-04-17T09:00:00Z,48
1503960366,2016-04-17T17:00:00Z,174
1503960366,2016-04-17T18:00:00Z,136
1503960366,2016-04-17T20:00:00Z,191
1503960366,2016-04-18T01:00:00Z,48
1503960366,2016-04-18T09:00:00Z,133
1503960366,2016-04-18T12:00:00Z,118
1503960366,2016-04-18T18:00:00Z,234
1503960366,2016-04-18T19:00:00Z,157
1503960366,2016-04-19T01:00:00Z,49
1503960366,2016-04-19T06:00:00Z,49
1503960366,2016-04-19T08:00:00Z,130
1503960366,2016-04-19T12:00:00Z,143
1503960366,2016-04-19T13:00:00Z,171
1503960366,2016-04-19T18:00:00Z,120
1503960366,2016-04-19T20:00:00Z,159
1503960366,2016-04-19T23:00:00Z,120
