Id,ActivityHour,StepTotal
1503960366,2016-04-12T00:00:00Z,373
1503960366,2016-04-12T01:00:00Z,160
1503960366,2016-04-12T02:00:00Z,151
1503960366,2016-04-12T03:00:00Z,0
1503960366,2016-04-12T04:00:00Z,0
1503960366,2016-04-12T05:00:00Z,0
1503960366,2016-04-12T06:00:00Z,0
1503960366,2016-04-12T07:00:00Z,0
1503960366,2016-04-12T08:00:00Z,250
1503960366,2016-04-12T09:00:00Z,1864
1503960366,2016-04-12T10:00:00Z,676
1503960366,2016-04-12T11:00:00Z,360
1503960366,2016-04-12T12:00:00Z,253
1503960366,2016-04-12T13:00:00Z,221
1503960366,2016-04-12T14:00:00Z,1166
1503960366,2016-04-12T15:00:00Z,2063
1503960366,2016-04-12T16:00:00Z,344
1503960366,2016-04-12T17:00:00Z,489
1503960366,2016-04-12T18:00:00Z,1386
1503960366,2016-04-12T19:00:00Z,558
1503960366,2016-04-12T20:00:00Z,1733
1503960366,2016-04-12T21:00:00Z,684
1503960366,2016-04-12T22:00:00Z,89
1503960366,2016-04-12T23:00:00Z,338
1503960366,2016-04-13T00:00:00Z,144
1503960366,2016-04-13T01:00:00Z,0
1503960366,2016-04-13T02:00:00Z,0
1503960366,2016-04-13T03:00:00Z,36
1503960366,2016-04-13T04:00:00Z,0
1503960366,2016-04-13T05:00:00Z,0
1503960366,2016-04-13T06:00:00Z,0
1503960366,2016-04-13T07:00:00Z,126
1503960366,2016-04-13T08:00:00Z,275
1503960366,2016-04-13T09:00:00Z,1679
1503960366,2016-04-13T10:00:00Z,295
1503960366,2016-04-13T11:00:00Z,524
1503960366,2016-04-13T12:00:00Z,486
1503960366,2016-04-13T13:00:00Z,302
1503960366,2016-04-13T14:00:00Z,1577
1503960366,2016-04-13T15:00:00Z,493
1503960366,2016-04-13T16:00:00Z,299
1503960366,2016-04-13T17:00:00Z,695
1503960366,2016-04-13T18:00:00Z,1343
1503960366,2016-04-13T19:00:00Z,258
1503960366,2016-04-13T20:00:00Z,0
1503960366,2016-04-13T21:00:00Z,0
1503960366,2016-04-13T22:00:00Z,437
1503960366,2016-04-13T23:00:00Z,1766
1503960366,2016-04-14T00:00:00Z,81
1503960366,2016-04-14T01:00:00Z,58
1503960366,2016-04-14T02:00:00Z,0
1503960366,2016-04-14T03:00:00Z,0
1503960366,2016-04-14T04:00:00Z,0
1503960366,2016-04-14T05:00:00Z,0
1503960366,2016-04-14T06:00:00Z,0
1503960366,2016-04-14T07:00:00Z,0
1503960366,2016-04-14T08:00:00Z,0
1503960366,2016-04-14T09:00:00Z,902
1503960366,2016-04-14T10:00:00Z,1106
1503960366,2016-04-14T11:00:00Z,50
1503960366,2016-04-14T12:00:00Z,501
1503960366,2016-04-14T13:00:00Z,1779
1503960366,2016-04-14T14:00:00Z,1228
1503960366,2016-04-14T15:00:00Z,139
1503960366,2016-04-14T16:00:00Z,408
1503960366,2016-04-14T17:00:00Z,37
1503960366,2016-04-14T18:00:00Z,322
1503960366,2016-04-14T19:00:00Z,11
1503960366,2016-04-14T20:00:00Z,806
1503960366,2016-04-14T21:00:00Z,2670
1503960366,2016-04-14T22:00:00Z,362
1503960366,2016-04-14T23:00:00Z,0
1503960366,2016-04-15T00:00:00Z,83
1503960366,2016-04-15T01:00:00Z,75
1503960366,2016-04-15T02:00:00Z,124
1503960366,2016-04-15T03:00:00Z,0
1503960366,2016-04-15T04:00:00Z,0
1503960366,2016-04-15T05:00:00Z,26
1503960366,2016-04-15T06:00:00Z,0
1503960366,2016-04-15T07:00:00Z,7
1503960366,2016-04-15T08:00:00Z,55
1503960366,2016-04-15T09:00:00Z,21
1503960366,2016-04-15T10:00:00Z,154
1503960366,2016-04-15T11:00:00Z,425
1503960366,2016-04-15T12:00:00Z,270
1503960366,2016-04-15T13:00:00Z,373
1503960366,2016-04-15T14:00:00Z,0
