Id,ActivityHour,Calories,TotalIntensity,AverageIntensity,StepTotal,DayOfWeek,Hour
1503960366,2016-04-12 00:00:00,81,20,0.333333,373,Tuesday,0
1503960366,2016-04-12 01:00:00,61,8,0.133333,160,Tuesday,1
1503960366,2016-04-12 02:00:00,59,7,0.116667,151,Tuesday,2
1503960366,2016-04-12 03:00:00,47,0,0.0,0,Tuesday,3
1503960366,2016-04-12 04:00:00,48,0,0.0,0,Tuesday,4
1503960366,2016-04-12 05:00:00,48,0,0.0,0,Tuesday,5
1503960366,2016-04-12 06:00:00,48,0,0.0,0,Tuesday,6
1503960366,2016-04-12 07:00:00,47,0,0.0,0,Tuesday,7
1503960366,2016-04-12 08:00:00,68,13,0.216667,250,Tuesday,8
1503960366,2016-04-12 09:00:00,141,30,0.5,1864,Tuesday,9
1503960366,2016-04-12 10:00:00,99,29,0.483333,676,Tuesday,10
1503960366,2016-04-12 11:00:00,76,12,0.2,360,Tuesday,11
1503960366,2016-04-12 12:00:00,73,11,0.183333,253,Tuesday,12
1503960366,2016-04-12 13:00:00,66,6,0.1,221,Tuesday,13
1503960366,2016-04-12 14:00:00,110,36,0.6,1166,Tuesday,14
1503960366,2016-04-12 15:00:00,151,58,0.966667,2063,Tuesday,15
1503960366,2016-04-12 16:00:00,76,13,0.216667,344,Tuesday,16
1503960366,2016-04-12 17:00:00,83,16,0.266667,489,Tuesday,17
1503960366,2016-04-12 18:00:00,124,29,0.483333,1386,Tuesday,18
1503960366,2016-04-12 19:00:00,104,39,0.65,558,Tuesday,19
1503960366,2016-04-12 20:00:00,132,41,0.683333,1733,Tuesday,20
1503960366,2016-04-12 21:00:00,100,31,0.516667,684,Tuesday,21
1503960366,2016-04-12 22:00:00,65,9,0.15,89,Tuesday,22
1503960366,2016-04-12 23:00:00,81,21,0.35,338,Tuesday,23
1503960366,2016-04-13 00:00:00,69,14,0.233333,144,Wednesday,0
1503960366,2016-04-13 01:00:00,48,0,0.0,0,Wednesday,1
1503960366,2016-04-13 02:00:00,47,0,0.0,0,Wednesday,2
1503960366,2016-04-13 03:00:00,53,4,0.066667,36,Wednesday,3
1503960366,2016-04-13 04:00:00,47,0,0.0,0,Wednesday,4
1503960366,2016-04-13 05:00:00,47,0,0.0,0,Wednesday,5
1503960366,2016-04-13 06:00:00,48,0,0.0,0,Wednesday,6
1503960366,2016-04-13 07:00:00,59,8,0.133333,126,Wednesday,7
1503960366,2016-04-13 08:00:00,69,12,0.2,275,Wednesday,8
1503960366,2016-04-13 09:00:00,136,27,0.45,1679,Wednesday,9
1503960366,2016-04-13 10:00:00,77,15,0.25,295,Wednesday,10
1503960366,2016-04-13 11:00:00,84,16,0.266667,524,Wednesday,11
1503960366,2016-04-13 12:00:00,82,15,0.25,486,Wednesday,12
1503960366,2016-04-13 13:00:00,72,10,0.166667,302,Wednesday,13
1503960366,2016-04-13 14:00:00,128,46,0.766667,1577,Wednesday,14
1503960366,2016-04-13 15:00:00,79,13,0.216667,493,Wednesday,15
1503960366,2016-04-13 16:00:00,71,10,0.166667,299,Wednesday,16
1503960366,2016-04-13 17:00:00,87,23,0.383333,695,Wednesday,17
1503960366,2016-04-13 18:00:00,118,25,0.416667,1343,Wednesday,18
1503960366,2016-04-13 19:00:00,73,13,0.216667,258,Wednesday,19
1503960366,2016-04-13 20:00:00,47,0,0.0,0,Wednesday,20
1503960366,2016-04-13 21:00:00,48,0,0.0,0,Wednesday,21
1503960366,2016-04-13 22:00:00,74,11,0.183333,437,Wednesday,22
1503960366,2016-04-13 23:00:00,135,56,0.933333,1766,Wednesday,23
1503960366,2016-04-14 00:00:00,56,4,0.066667,81,Thursday,0
1503960366,2016-04-14 01:00:00,54,3,0.05,58,Thursday,1
1503960366,2016-04-14 02:00:00,47,0,0.0,0,Thursday,2
1503960366,2016-04-14 03:00:00,47,0,0.0,0,Thursday,3
1503960366,2016-04-14 04:00:00,47,0,0.0,0,Thursday,4
1503960366,2016-04-14 05:00:00,47,0,0.0,0,Thursday,5
1503960366,2016-04-14 06:00:00,47,0,0.0,0,Thursday,6
1503960366,2016-04-14 07:00:00,47,0,0.0,0,Thursday,7
1503960366,2016-04-14 08:00:00,47,0,0.0,0,Thursday,8
1503960366,2016-04-14 09:00:00,93,14,0.233333,902,Thursday,9
1503960366,2016-04-14 10:00:00,109,23,0.383333,1106,Thursday,10
1503960366,2016-04-14 11:00:00,64,7,0.116667,50,Thursday,11
1503960366,2016-04-14 12:00:00,85,18,0.3,501,Thursday,12
1503960366,2016-04-14 13:00:00,137,54,0.9,1779,Thursday,13
1503960366,2016-04-14 14:00:00,113,22,0.366667,1228,Thursday,14
1503960366,2016-04-14 15:00:00,66,7,0.116667,139,Thursday,15
1503960366,2016-04-14 16:00:00,88,25,0.416667,408,Thursday,16
1503960366,2016-04-14 17:00:00,61,5,0.083333,37,Thursday,17
1503960366,2016-04-14 18:00:00,72,12,0.2,322,Thursday,18
1503960366,2016-04-14 19:00:00,55,1,0.016667,11,Thursday,19
1503960366,2016-04-14 20:00:00,91,24,0.4,806,Thursday,20
1503960366,2016-04-14 21:00:00,174,57,0.95,2670,Thursday,21
1503960366,2016-04-14 22:00:00,79,17,0.283333,362,Thursday,22
1503960366,2016-04-14 23:00:00,50,0,0.0,0,Thursday,23
1503960366,2016-04-15 00:00:00,60,6,0.1,83,Friday,0
1503960366,2016-04-15 01:00:00,58,5,0.083333,75,Friday,1
1503960366,2016-04-15 02:00:00,59,7,0.116667,124,Friday,2
1503960366,2016-04-15 03:00:00,47,0,0.0,0,Friday,3
1503960366,2016-04-15 04:00:00,47,0,0.0,0,Friday,4
1503960366,2016-04-15 05:00:00,49,1,0.016667,26,Friday,5
1503960366,2016-04-15 06:00:00,47,0,0.0,0,Friday,6
1503960366,2016-04-15 07:00:00,49,1,0.016667,7,Friday,7
1503960366,2016-04-15 08:00:00,54,5,0.083333,55,Friday,8
1503960366,2016-04-15 09:00:00,50,2,0.033333,21,Friday,9
1503960366,2016-04-15 10:00:00,63,8,0.133333,154,Friday,10
1503960366,2016-04-15 11:00:00,84,23,0.383333,425,Friday,11
1503960366,2016-04-15 12:00:00,74,13,0.216667,270,Friday,12
1503960366,2016-04-15 13:00:00,67,9,0.15,373,Friday,13
1503960366,2016-04-15 14:00:00,47,0,0.0,0,Friday,14
1503960366,2016-04-15 15:00:00,47,0,0.0,0,Friday,15
1503960366,2016-04-15 16:00:00,47,0,0.0,0,Friday,16
1503960366,2016-04-15 17:00:00,140,47,0.783333,1774,Friday,17
1503960366,2016-04-15 18:00:00,87,22,0.366667,509,Friday,18
1503960366,2016-04-15 19:00:00,97,32,0.533333,519,Friday,19
1503960366,2016-04-15 20:00:00,64,8,0.133333,77,Friday,20
1503960366,2016-04-15 21:00:00,75,14,0.233333,280,Friday,21
1503960366,2016-04-15 22:00:00,151,66,1.1,2145,Friday,22
1503960366,2016-04-15 23:00:00,182,95,1.583333,2768,Friday,23
1503960366,2016-04-16 00:00:00,77,15,0.25,459,Saturday,0
1503960366,2016-04-16 01:00:00,48,0,0.0,0,Saturday,1
1503960366,2016-04-16 02:00:00,52,3,0.05,63,Saturday,2
1503960366,2016-04-16 03:00:00,48,1,0.016667,6,Saturday,3
1503960366,2016-04-16 04:00:00,49,1,0.016667,6,Saturday,4
